Variable,RFImportance
176.3_115.0941m/z,0.0
412.75_115.1305m/z,0.0
67.03_116.0239m/z,0.0
60.99_116.0338m/z,0.0
46.49_116.0338m/z,0.0
186.06_116.0492m/z,0.0
244.87_116.0492m/z,0.0
205.94_116.0492m/z,0.0
58.54_116.0525m/z,0.0
315.77_116.0571m/z,0.0
327.46_116.0596m/z,0.0
86.27_116.0702m/z,0.0
38.03_116.0704m/z,0.0
63.43_116.0702m/z,0.0
52.43_116.0699m/z,0.0
234.21_116.07m/z,8.679776287161098e-05
139.59_116.0702m/z,0.0
126.29_116.0702m/z,0.00016796001788770495
80.77_116.1066m/z,5.461529182536672e-05
39.11_116.1067m/z,0.0
55.92_116.1065m/z,5.355479635609251e-05
250.64_116.1065m/z,0.0
340.36_116.1066m/z,0.0
38.98_116.139m/z,0.0001613102820379117
38.95_116.1581m/z,0.0
38.92_116.1902m/z,0.0
38.91_116.2786m/z,0.0
86.15_117.0178m/z,0.0
237.38_117.0331m/z,0.0
66.86_117.0479m/z,5.4237413268258986e-05
84.18_117.0567m/z,0.0
150.68_117.0568m/z,0.0
165.34_117.0574m/z,0.0
244.9_117.0569m/z,0.0
121.19_117.0568m/z,0.00024132987862326944
63.5_117.0545m/z,0.0
194.34_117.0568m/z,0.0
229.81_117.0567m/z,0.0
369.14_117.0694m/z,0.0
393.39_117.0694m/z,0.0
406.21_117.0694m/z,0.0
166.51_117.0693m/z,0.0
234.43_117.0698m/z,0.0
114.66_117.0692m/z,0.0
282.74_117.0693m/z,0.0
221.23_117.0693m/z,0.0
196.34_117.0693m/z,0.0
146.95_117.0693m/z,0.0
81.88_117.0733m/z,0.0
63.46_117.0734m/z,4.841177973303503e-05
38.22_117.0735m/z,0.0
38.94_117.1098m/z,0.0
80.99_117.1097m/z,0.0
59.79_118.0259m/z,9.461288404862193e-05
125.28_118.0645m/z,0.0
84.28_118.0645m/z,0.00048582826286873584
215.75_118.065m/z,0.0
165.33_118.065m/z,0.0
244.92_118.0643m/z,0.0
318.96_118.0639m/z,0.0
234.45_118.064m/z,0.0
194.33_118.0641m/z,0.0
150.7_118.0635m/z,0.0
264.4_118.0639m/z,0.0
303.72_118.0633m/z,0.0
333.44_118.064m/z,0.0
294.55_118.0638m/z,0.0
44.83_118.1219m/z,0.0
53.61_118.1219m/z,5.352638954063469e-05
94.46_119.0157m/z,5.0103490114909714e-05
64.6_119.0158m/z,0.0
41.85_119.0158m/z,0.0
85.05_119.0158m/z,0.0
73.24_119.0348m/z,0.0
180.49_119.0348m/z,0.0
93.68_119.035m/z,0.0
134.59_119.0348m/z,5.2276192550642544e-05
290.78_119.0487m/z,0.0
84.27_119.0488m/z,0.0
43.45_119.0487m/z,0.00021525883966556052
176.15_119.0487m/z,0.0
247.95_119.0487m/z,0.0
215.21_119.048m/z,0.0
238.86_119.0487m/z,0.0
69.85_119.0488m/z,0.0
198.04_119.0487m/z,0.0
182.56_119.0596m/z,7.464175946992374e-06
93.55_119.0597m/z,0.0
215.74_119.0679m/z,0.0
165.32_119.0679m/z,0.0005006432082423943
244.87_119.0679m/z,0.0
